id,hotel_name,hotel_rating,hotel_experience,amenities,address,country
877,Ramada by Wyndham Nanaimo,4,Very good,"['Free parking', 'Free High Speed Internet (WiFi)', 'Breakfast included', 'Fitness Centre with Gym / Workout Room', 'Breakfast Available', 'Business Centre with Internet Access', 'Dry Cleaning', 'Laundry Service', 'Meeting rooms', 'Multilingual Staff', 'Non-smoking hotel', 'Public Wifi', 'Self-Serve Laundry', 'Wheelchair Access', 'Air conditioning', 'Microwave', 'Refrigerator in room', 'Non-smoking rooms']",315 Rosehill St Nanaimo British Columbia,Canada
878,Bev & Sandy's Place B&B,,,[],2734 Camcrest Dr Nanaimo British Columbia,Canada
879,Rockwood House B&B,4.5,Excellent,"['Free parking', 'Free High Speed Internet (WiFi)', 'Breakfast included', 'Non-smoking hotel', 'Refrigerator in room', 'Family Rooms']",2314 Rockwood Pl Nanaimo British Columbia,Canada
880,Island View Bed and Breakfast,,,[],5391 Entwhistle Dr Nanaimo British Columbia,Canada
881,Nanaimo Ocean View Guesthouse,4.5,Excellent,"['Free parking', 'Free High Speed Internet (WiFi)', 'Breakfast Available', 'Non-smoking hotel', 'Public Wifi', 'Air conditioning', 'Microwave', 'Refrigerator in room', 'Non-smoking rooms']",3757 Sundown Dr Nanaimo British Columbia,Canada
882,Bluebird Motel,2.5,Average,"['Free parking', 'Free High Speed Internet (WiFi)', 'Non-smoking hotel', 'Pets Allowed ( Dog / Pet Friendly )', 'Air conditioning', 'Microwave', 'Refrigerator in room', 'Kitchenette', 'Non-smoking rooms', 'Suites']",995 Terminal Ave N Nanaimo British Columbia,Canada
883,Waterfront Suites and Marina,,,[],1000 Stewart Ave Nanaimo British Columbia,Canada
884,Diplomat Motel,3,Average,"['Free High Speed Internet (WiFi)', 'Free parking', 'Business Centre with Internet Access', 'Golf Course', 'Laundry Service', 'Non-smoking hotel', 'Pets Allowed ( Dog / Pet Friendly )', 'Public Wifi', 'Air conditioning', 'Refrigerator in room', 'Non-smoking rooms']",333 Nicol St Nanaimo British Columbia,Canada
885,Ocean Melody Vacation Rooms,,,[],4540 Laguna Way ,Canada
886,Cambie Hostel Nanaimo,1.5,Poor,"['Free parking', 'Bar/Lounge', 'Free High Speed Internet (WiFi)', 'Laundry Service', 'Non-smoking hotel']",63 Victoria Cres Nanaimo British Columbia,Canada
887,The Grand Hotel Nanaimo,3.5,Very good,"['Room service', 'Restaurant', 'Fitness Centre with Gym / Workout Room', 'Bar/Lounge', 'Free High Speed Internet (WiFi)', 'Free parking', 'Banquet Room', 'Business Centre with Internet Access', 'Conference Facilities', 'Dry Cleaning', 'Meeting rooms', 'Non-smoking hotel', 'Pets Allowed ( Dog / Pet Friendly )', 'Wheelchair Access', 'Air conditioning', 'Family Rooms', 'Non-smoking rooms', 'Suites']",4898 Rutherford Rd Nanaimo British Columbia,Canada
888,Gibralter Rock,5,,[],118 Gibralter Rock ,Canada
889,Value Lodge Economy Motel,2.5,Average,"['Free parking', 'Free High Speed Internet (WiFi)', 'Restaurant', 'Business Centre with Internet Access', 'Laundry Service', 'Non-smoking hotel', 'Pets Allowed ( Dog / Pet Friendly )', 'Air conditioning', 'Refrigerator in room', 'Family Rooms', 'Non-smoking rooms']",736 Nicol St Nanaimo British Columbia,Canada
890,Maple View Bed & Breakfast,5,Excellent,"['Free parking', 'Free High Speed Internet (WiFi)', 'Golf Course', 'Laundry Service', 'Non-smoking hotel', 'Air conditioning', 'Refrigerator in room', 'Family Rooms', 'Non-smoking rooms']",3315 Rock City Rd Nanaimo British Columbia,Canada
891,The Pine & Picket B&B,5,Excellent,"['Free parking', 'Free High Speed Internet (WiFi)', 'Breakfast included', 'Non-smoking hotel', 'Family Rooms', 'Non-smoking rooms']",511 Drake St Nanaimo British Columbia,Canada
892,Days Inn by Wyndham Nanaimo,3.5,Very good,"['Pool', 'Free parking', 'Restaurant', 'Free High Speed Internet (WiFi)', 'Breakfast included', 'Room service', 'Banquet Room', 'Dry Cleaning', 'Heated pool', 'Hot Tub', 'Indoor pool', 'Laundry Service', 'Meeting rooms', 'Non-smoking hotel', 'Pets Allowed ( Dog / Pet Friendly )', 'Self-Serve Laundry', 'Tennis Court', 'Wheelchair Access', 'Air conditioning', 'Microwave', 'Kitchenette', 'Non-smoking rooms']",809 Island Hwy S Nanaimo British Columbia,Canada
893,Travelodge Nanaimo,3.5,Very good,"['Free parking', 'Free High Speed Internet (WiFi)', 'Breakfast included', 'Business Centre with Internet Access', 'Dry Cleaning', 'Laundry Service', 'Meeting rooms', 'Non-smoking hotel', 'Pets Allowed ( Dog / Pet Friendly )', 'Sauna', 'Self-Serve Laundry', 'Wheelchair Access', 'Air conditioning', 'Microwave', 'Family Rooms', 'Kitchenette', 'Non-smoking rooms', 'Suites']",96 Terminal Ave N Nanaimo British Columbia,Canada
894,Hammond Bay Oceanside Bed & Breakfast,,,[],3804 Hammond Bay Rd Nanaimo British Columbia,Canada
895,Stephenson Point Seaside B&B,5,Excellent,"['Free parking', 'Free High Speed Internet (WiFi)', 'Breakfast included', 'Hot Tub', 'Laundry Service', 'Non-smoking hotel', 'Non-smoking rooms']",3318 Stephenson Point Rd Nanaimo British Columbia,Canada
896,Mountainaire Campground and RV Park,4,Very good,"['Free parking', 'Free High Speed Internet (WiFi)', 'Babysitting', 'Children Activities (Kid / Family Friendly)', 'Pets Allowed ( Dog / Pet Friendly )', 'Public Wifi', 'Self-Serve Laundry']",1094 Spruston Rd Nanaimo British Columbia,Canada
897,About The Sea B&B,4.5,Excellent,"['Free High Speed Internet (WiFi)', 'Laundry Service', 'Non-smoking hotel', 'Public Wifi', 'Air conditioning', 'Family Rooms', 'Non-smoking rooms', 'Smoking rooms available']",6385 Corfu Dr Nanaimo British Columbia,Canada
898,Colonial Motel,3.5,Very good,"['Free High Speed Internet (WiFi)', 'Free parking', 'Restaurant', 'Fitness Centre with Gym / Workout Room', 'Dry Cleaning', 'Non-smoking hotel', 'Public Wifi', 'Air conditioning', 'Refrigerator in room', 'Family Rooms', 'Kitchenette', 'Non-smoking rooms']",950 Terminal Ave N Nanaimo British Columbia,Canada
899,Beach Estates Inn,3.5,Very good,"['Free High Speed Internet (WiFi)', 'Golf Course', 'Laundry Service', 'Non-smoking hotel', 'Public Wifi', 'Non-smoking rooms', 'Smoking rooms available']",800 Beach Dr Nanaimo British Columbia,Canada
900,Bethlehem Centre,4.5,,[],2371 Arbot Rd ,Canada
901,Chidiah Retreat Bed and Breakfast,4.5,,[],1699 Woobank Rd ,Canada
